species,location,time,description of bird,sex,feather color,,,,,,
American Robin,New York City,15-06-2023 08:30,A medium-sized bird with an orange breast and grayish back,Unknown,Brown,,,,,,
Bald Eagle,Seattle,02-07-2023 12:45,A large bird of prey with a white head and brown body,Male,Brown and White,,,,,,
Northern Cardinal,Miami,29-06-2023 16:15,A small red bird with a crest on its head,Female,Red,,,,,,
Blue Jay,Chicago,05-07-2023 10:00,A medium-sized bird with blue feathers and a black crest,Unknown,Blue and Black,,,,,,
Ruby-throated Hummingbird,Los Angeles,20-06-2023 09:00,A tiny bird with green feathers and a ruby-red throat,Male,Green and Red,,,,,,
Mallard Duck,London,25-06-2023 14:30,A medium-sized duck with a green head and brown body,Female,Brown and Green,,,,,,
Peregrine Falcon,Sydney,03-07-2023 11:20,A swift bird of prey with dark wings and a hooked beak,Unknown,Black and White,,,,,,
Great Horned Owl,Toronto,19-06-2023 20:00,A large nocturnal bird with prominent ear tufts,Unknown,Brown and Gray,,,,,,
European Starling,Paris,26-06-2023 16:45,A small black bird with iridescent feathers and a yellow beak,Unknown,Black,,,,,,
Red-tailed Hawk,San Francisco,01-07-2023 13:10,A large bird of prey with a reddish-brown tail,Male,Brown and Red,,,,,,
Mourning Dove,Mexico City,30-06-2023 07:50,A small dove with a grayish-brown body and a distinctive cooing call,Unknown,Gray and Brown,,,,,,
Anna's Hummingbird,Vancouver,18-06-2023 10:30,A small bird with iridescent green feathers and a pink throat patch,Male,Green and Pink,,,,,,
White-throated Sparrow,Rome,28-06-2023 09:15,A medium-sized sparrow with a white throat and black-and-white striped head,Unknown,Brown and White,,,,,,
Snowy Owl,Moscow,04-07-2023 14:55,A large white owl with yellow eyes,Unknown,White,,,,,,
Eurasian Jay,Tokyo,23-06-2023 12:20,A medium-sized bird with blue and white feathers and a black crest,Unknown,Blue and White,,,,,,
Wood Duck,Seattle,15-06-2023 07:40,A medium-sized duck with a colorful plumage and a distinctive crested head,Male,Various colors,,,,,,
Northern Mockingbird,New York City,02-07-2023 16:50,A medium-sized bird with gray feathers and a long tail,Unknown,Gray,,,,,,
Barn Owl,Miami,29-06-2023 21:30,A medium-sized owl with a heart-shaped face and pale feathers,Unknown,White,,,,,,
American Goldfinch,Chicago,06-07-2023 08:10,A small yellow bird with black wings and a conical bill,Unknown,Yellow and Black,,,,,,
Belted Kingfisher,Los Angeles,21-06-2023 11:40,A medium-sized bird with a shaggy crest and a long, pointed bill,Female,Blue and White,,,,,
Hooded Crow,London,26-06-2023 15:20,A medium-sized crow with black plumage and a distinctive gray hood,Unknown,Black and Gray,,,,,,
Purple Martin,New York City,03-07-2023 09:05,A small bird with a dark blue-black body and a forked tail,Male,Dark Blue and Black,,,,,,
Rock Pigeon,Seattle,17-06-2023 14:15,A medium-sized pigeon with a gray body and iridescent neck feathers,Unknown,Gray,,,,,,
Canada Goose,Miami,30-06-2023 18:25,A large waterfowl with a black head and neck, and a brown body,Unknown,Black and Brown,,,,,
Black-capped Chickadee,Chicago,07-07-2023 10:20,A small bird with a black cap and white cheeks,Unknown,Black and White,,,,,,
Eurasian Collared-Dove,Los Angeles,22-06-2023 16:30,A medium-sized dove with a pale gray body and a black crescent-shaped collar,Unknown,Gray,,,,,,
House Sparrow,London,27-06-2023 13:45,A small brown bird with a gray crown and black throat patch,Unknown,Brown and Gray,,,,,,
American Crow,New York City,04-07-2023 11:00,A large black bird with a sturdy beak,Unknown,Black,,,,,,
Rose-breasted Grosbeak,Seattle,16-06-2023 08:50,A medium-sized bird with a black and white body and a rose-colored breast,Male,Black and White,,,,,,
Eurasian Magpie,Miami,01-07-2023 16:15,A medium-sized bird with black and white plumage and a long tail,Unknown,Black and White,,,,,,
Black-chinned Hummingbird,Chicago,25-06-2023 09:30,A small hummingbird with green feathers and a black throat,Male,Green and Black,,,,,,
Common Raven,Los Angeles,20-06-2023 12:10,A large black bird with a thick bill and a croaking call,Unknown,Black,,,,,,
House Finch,London,28-06-2023 14:40,A small finch with a red or orange head and a brown-streaked body,Male,Red and Brown,,,,,,
Red-winged Blackbird,New York City,05-07-2023 07:20,A medium-sized blackbird with red and yellow shoulder patches,Male,Black and Red,,,,,,
Northern Gannet,Seattle,19-06-2023 11:55,A large seabird with a white body and a yellowish head,Male,White and Yellow,,,,,,
European Goldfinch,Miami,02-07-2023 17:30,A small yellow bird with black and white wings,Unknown,Yellow and Black,,,,,,
Hairy Woodpecker,Chicago,26-06-2023 10:40,A medium-sized woodpecker with black and white feathers,Male,Black and White,,,,,,
Brown-headed Cowbird,Los Angeles,21-06-2023 14:20,A blackbird with a dark brown head and a stocky build,Unknown,Black and Brown,,,,,,
Cedar Waxwing,London,29-06-2023 12:15,A medium-sized bird with a crested head and a yellow-tipped tail,Unknown,Brown and Yellow,,,,,,
Sandhill Crane,New York City,06-07-2023 09:55,A tall, grayish crane with a red crown on its head,Unknown,Gray and Red,,,,,
Great Blue Heron,Seattle,17-06-2023 15:30,A large wading bird with a blue-gray body and long legs,Unknown,Blue and Gray,,,,,,
Eurasian Skylark,Miami,30-06-2023 10:45,A small songbird with a brown-streaked body and a crest,Unknown,Brown,,,,,,
Yellow Warbler,Chicago,07-07-2023 11:20,A small songbird with bright yellow feathers and a melodious song,Male,Yellow,,,,,,
Ring-billed Gull,Los Angeles,22-06-2023 13:25,A medium-sized gull with a white body, gray wings, and a distinctive black ring on its bill,Unknown,White and Gray,,,,
Tree Swallow,London,27-06-2023 10:10,A small bird with iridescent blue-green feathers and a forked tail,Unknown,Blue and Green,,,,,,
Baltimore Oriole,New York City,04-07-2023 08:40,A medium-sized bird with bright orange plumage and black wings,Male,Orange and Black,,,,,,
White-crowned Sparrow,Seattle,18-06-2023 07:15,A medium-sized sparrow with a distinctive white-striped crown,Unknown,Brown and White,,,,,,
Ruddy Duck,Miami,01-07-2023 15:50,A small duck with a rusty-red body and a blue bill,Male,Rusty-red and Blue,,,,,,
Caspian Tern,Chicago,24-06-2023 09:30,A large bird with a white body, gray wings, and a bright red bill,Unknown,White and Gray,,,,
Northern Shoveler,Los Angeles,19-06-2023 13:40,A medium-sized duck with a large spoon-shaped bill,Male,Brown,,,,,,
Common Myna,London,26-06-2023 16:00,A medium-sized bird with dark plumage, a yellow bill, and yellow eye patches,Unknown,Black and Yellow,,,,
Eurasian Spoonbill,Paris,07-07-2023 14:20,A large wading bird with a distinctive spoon-shaped bill,Unknown,White,,,,,,
Barred Owl,San Francisco,25-06-2023 18:10,A medium-sized owl with brown and white barred plumage,Unknown,Brown and White,,,,,,
Crested Caracara,Mexico City,02-07-2023 09:45,A bird of prey with a black crest and a distinctive face pattern,Unknown,Black and Orange,,,,,,
Cinnamon Teal,Vancouver,19-06-2023 11:30,A small duck with a cinnamon-colored body and a blue bill,Male,Cinnamon and Blue,,,,,,
