species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
American Robin,New York City,15-06-2023 08:30,A medium-sized bird with an orange breast and grayish back,Unknown,Brown,,gray,,,,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Bald Eagle,Seattle,02-07-2023 12:45,A large bird of prey with a white head and brown body,Male,Brown and White,,,,,,,brown,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Northern Cardinal,Miami,29-06-2023 16:15,A small red bird with a crest on its head,Female,Red,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,red,,,,,,small,,,,,,,,,,
Blue Jay,Chicago,05-07-2023 10:00,A medium-sized bird with blue feathers and a black crest,Unknown,Blue and Black,,,,,,,,,,,,,,black,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Ruby-throated Hummingbird,Los Angeles,20-06-2023 09:00,A tiny bird with green feathers and a ruby-red throat,Male,Green and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,tiny,,,,red,,,,,,
Mallard Duck,London,25-06-2023 14:30,A medium-sized duck with a green head and brown body,Female,Brown and Green,,,,,,,brown,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Peregrine Falcon,Sydney,03-07-2023 11:20,A swift bird of prey with dark wings and a hooked beak,Unknown,Black and White,,,,,,hooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Horned Owl,Toronto,19-06-2023 20:00,A large nocturnal bird with prominent ear tufts,Unknown,Brown and Gray,nocturnal,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,,,,,,,large,,,,,,,,,,
European Starling,Paris,26-06-2023 16:45,A small black bird with iridescent feathers and a yellow beak,Unknown,Black,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,iridescent,,,,,small,,,,,,,,,,
Red-tailed Hawk,San Francisco,01-07-2023 13:10,A large bird of prey with a reddish-brown tail,Male,Brown and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,brown|red,,,,,,,,,
Mourning Dove,Mexico City,30-06-2023 07:50,A small dove with a grayish-brown body and a distinctive cooing call,Unknown,Gray and Brown,,,,,,,gray_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,call,,
